textfilename,processed,processing_date,output_json
19979,True,2024-09-24 18:59:32.970556,19979.json
19979,True,2024-09-24 19:14:05.264803,19979.json
19979,True,2024-09-24 19:20:14.333977,19979.json
19979,True,2024-09-24 19:29:22.442196,19979.json
19979,True,2024-09-24 19:40:28.742865,19979.json
19979,True,2024-09-24 19:44:48.680886,19979.json
19979,True,2024-09-24 19:49:18.956246,19979.json
19979,True,2024-09-24 19:51:00.936335,19979.json
19979,True,2024-09-24 19:54:54.125604,19979.json
19979,True,2024-09-24 19:57:36.048792,19979.json
19979,True,2024-09-24 19:59:22.481612,19979.json
19979,True,2024-09-24 20:04:50.608613,19979.json
19979,True,2024-09-24 20:07:19.023837,19979.json
19979,True,2024-09-24 20:08:25.909650,19979.json
56537,True,2024-09-24 20:11:32.817062,56537.json
56537,True,2024-09-24 20:12:17.750363,56537.json
45035,True,2024-09-24 20:37:08.393138,45035.json
45568,True,2024-09-24 22:01:39.024538,45568.json
4930,True,2024-09-24 22:21:41.665721,4930.json
4930,True,2024-09-24 22:25:42.283478,4930.json
4930,True,2024-09-24 22:41:17.674504,4930.json
4930,True,2024-09-25 02:00:03.265891,4930.json
44241,True,2024-09-25 04:46:27.660390,44241.json
35746,True,2024-09-25 04:48:38.139738,35746.json
35746,True,2024-09-25 05:10:01.958930,35746.json
51248,True,2024-09-25 05:33:49.027583,51248.json
41433,True,2024-09-25 10:44:47.233401,41433.json
41433,True,2024-09-25 13:44:32.487365,41433.json
41433,True,2024-09-25 13:54:49.138032,41433.json
41433,True,2024-09-25 14:18:07.859461,41433.json
46467,True,2024-09-25 17:15:11.169103,46467.json
46467,True,2024-09-25 17:17:54.643426,46467.json
44129,True,2024-09-25 17:36:26.706333,44129.json
44129,True,2024-09-25 17:42:30.467160,44129.json
44129,True,2024-09-25 17:44:05.001752,44129.json
18619,True,2024-09-25 17:45:54.320825,18619.json
40660,True,2024-09-25 17:47:05.210068,40660.json
9838,True,2024-09-25 17:47:35.359782,9838.json
43537,True,2024-09-26 04:14:30.009899,43537.json
24702,True,2024-09-26 04:14:39.605606,24702.json
31415,True,2024-09-26 04:15:35.738957,31415.json
57869,True,2024-09-26 05:20:05.926942,57869.json
57869,True,2024-09-26 05:24:37.652644,57869.json
57869,True,2024-09-26 05:27:04.973538,57869.json
57869,True,2024-09-26 05:28:08.233403,57869.json
882,True,2024-09-26 18:15:32.908542,882.json
7868,True,2024-09-26 18:15:41.176775,7868.json
40629,True,2024-09-26 18:15:47.494613,40629.json
2622,True,2024-09-26 18:18:53.115362,2622.json
54215,True,2024-09-27 03:42:49.238726,54215.json
30141,True,2024-09-27 03:43:25.148732,30141.json
51902,True,2024-09-27 03:43:32.649796,51902.json
54215,True,2024-09-27 03:55:55.438381,54215.json
30141,True,2024-09-27 04:00:04.591762,30141.json
51902,True,2024-09-27 04:01:25.695816,51902.json
58494,True,2024-09-29 11:19:47.031750,58494.json
58494,True,2024-09-29 11:23:27.864274,58494.json
58494,True,2024-09-29 11:25:50.462531,58494.json
34278,True,2024-09-29 16:13:48.137373,34278.json
34278,True,2024-09-29 16:18:31.190806,34278.json
953,True,2024-09-29 16:27:52.904682,953.json
953,True,2024-09-29 17:13:16.221805,953.json
953,True,2024-09-29 17:25:04.957408,953.json
953,True,2024-09-29 17:28:00.534011,953.json
54439,True,2024-09-29 17:59:00.869786,54439.json
54439,True,2024-09-29 18:03:09.849549,54439.json
54439,True,2024-09-29 18:06:32.036055,54439.json
54439,True,2024-09-29 18:20:05.496535,54439.json
54439,True,2024-09-29 18:24:47.144761,54439.json
42283,True,2024-09-29 18:30:38.734380,42283.json
58616,True,2024-09-29 19:11:46.988286,58616.json
58616,True,2024-09-29 19:16:17.827038,58616.json
58616,True,2024-09-29 19:24:06.911237,58616.json
47446,True,2024-09-29 19:26:38.071690,47446.json
44043,True,2024-09-29 19:29:31.926654,44043.json
56414,True,2024-09-29 19:36:51.038776,56414.json
41866,True,2024-09-29 19:48:42.217889,41866.json
41866,True,2024-09-29 20:14:14.456423,41866.json
36620,True,2024-09-29 21:05:17.915798,36620.json
24950,True,2024-09-30 03:43:40.507106,24950.json
24950,True,2024-09-30 03:59:37.305496,24950.json
46228,True,2024-09-30 18:46:36.379927,46228.json
36776,True,2024-09-30 20:04:05.302968,36776.json
40001,True,2024-09-30 20:41:18.095986,40001.json
40001,True,2024-09-30 20:55:34.653218,40001.json
pages2textstrings2,True,2024-09-30 22:01:37.914320,pages2textstrings2.json
pages2textstrings3,True,2024-09-30 22:02:41.407643,pages2textstrings3.json
pages2textstrings2,True,2024-09-30 22:06:47.267554,pages2textstrings2.json
pages2textstrings3,True,2024-09-30 22:07:29.414749,pages2textstrings3.json
36215,True,2024-10-03 19:51:39.668849,36215.json
3246,True,2024-10-03 19:52:51.189146,3246.json
4415,True,2024-10-03 19:55:33.918779,4415.json
28853,True,2024-10-04 07:31:02.576033,28853.json
45995,True,2024-10-04 07:32:00.489969,45995.json
19396,True,2024-10-04 07:38:58.804269,19396.json
28853,True,2024-10-04 07:53:42.222484,28853.json
41888,True,2024-10-04 20:32:32.920447,41888.json
53739,True,2024-10-04 20:36:03.672793,53739.json
51572,True,2024-10-04 20:40:49.352973,51572.json
53739,True,2024-10-09 04:22:32.185925,53739.json
53739,True,2024-10-09 04:28:46.399951,53739.json
53739,True,2024-10-09 15:11:30.190610,53739.json
47083,True,2024-10-10 20:22:42.167516,47083.json
48385,True,2024-10-10 20:23:11.760077,48385.json
42090,True,2024-10-10 20:25:18.166344,42090.json
28853,True,2024-10-04 07:31:02.576033,28853.json
45995,True,2024-10-04 07:32:00.489969,45995.json
19396,True,2024-10-04 07:38:58.804269,19396.json
28853,True,2024-10-04 07:53:42.222484,28853.json
41888,True,2024-10-04 20:32:32.920447,41888.json
53739,True,2024-10-04 20:36:03.672793,53739.json
51572,True,2024-10-04 20:40:49.352973,51572.json
53739,True,2024-10-09 04:22:32.185925,53739.json
53739,True,2024-10-09 04:28:46.399951,53739.json
1291,True,2024-10-11 14:27:09.498544,1291.json
43354,True,2024-10-11 14:27:34.210979,43354.json
36904,True,2024-10-11 14:28:03.867779,36904.json
35725,True,2024-10-12 21:04:35.174158,35725.json
25852,True,2024-10-12 22:41:59.306730,25852.json
51629,True,2024-10-12 22:42:50.015870,51629.json
34508,True,2024-10-12 22:43:05.721048,34508.json
4251,True,2024-10-13 07:40:01.465911,4251.json
3795,True,2024-10-13 07:40:26.161222,3795.json
1445,True,2024-10-13 07:40:43.291104,1445.json
38891,True,2024-10-13 11:37:29.832487,38891.json
4929,True,2024-10-13 11:37:55.243940,4929.json
23169,True,2024-10-13 11:38:04.710137,23169.json
2181,True,2024-10-13 15:37:37.889016,2181.json
3711,True,2024-10-13 15:37:47.089616,3711.json
42469,True,2024-10-13 15:38:11.427752,42469.json
50361,True,2024-10-13 16:12:02.078913,50361.json
25383,True,2024-10-13 16:12:24.355997,25383.json
39863,True,2024-10-13 16:12:56.881126,39863.json
2360,True,2024-10-13 16:27:50.487890,2360.json
34970,True,2024-10-13 16:28:32.653619,34970.json
38401,True,2024-10-13 16:29:23.494336,38401.json
2360,True,2024-10-13 16:38:52.653157,2360.json
34970,True,2024-10-13 16:39:36.049906,34970.json
38401,True,2024-10-13 16:40:27.394391,38401.json
2360,True,2024-10-13 16:44:24.992022,2360.json
34970,True,2024-10-13 16:45:01.807954,34970.json
38401,True,2024-10-13 16:46:00.994215,38401.json
2360,True,2024-10-13 16:47:57.933538,2360.json
34970,True,2024-10-13 16:48:30.914882,34970.json
38401,True,2024-10-13 16:49:03.536360,38401.json
55621,True,2024-10-13 17:11:15.729283,55621.json
30809,True,2024-10-13 17:12:01.786807,30809.json
50501,True,2024-10-13 17:12:53.974944,50501.json
36983,True,2024-10-13 17:18:56.593194,36983.json
55011,True,2024-10-13 17:19:39.983606,55011.json
38877,True,2024-10-13 17:20:22.647326,38877.json
7432,True,2024-10-13 17:23:20.486284,7432.json
35517,True,2024-10-13 17:23:42.217501,35517.json
54259,True,2024-10-13 17:24:06.982395,54259.json
7432,True,2024-10-13 17:29:43.373973,7432.json
35517,True,2024-10-13 17:30:08.899069,35517.json
54259,True,2024-10-13 17:30:31.511658,54259.json
7432,True,2024-10-13 17:35:33.582548,7432.json
35517,True,2024-10-13 17:35:49.790518,35517.json
54259,True,2024-10-13 17:36:11.647396,54259.json
41145,True,2024-10-13 17:49:02.514774,41145.json
36849,True,2024-10-13 17:51:47.289694,36849.json
58768,True,2024-10-13 17:54:46.871283,58768.json
44774,True,2024-10-13 19:38:57.575421,44774.json
57435,True,2024-10-13 19:49:04.181527,57435.json
32886,True,2024-10-13 23:11:07.231879,32886.json
11322,True,2024-10-14 10:29:40.673193,11322.json
35700,True,2024-10-14 10:32:55.831304,35700.json
34729,True,2024-10-14 10:33:50.671885,34729.json
26159,True,2024-10-14 18:29:29.414322,26159.json
3562,True,2024-10-15 09:18:05.089483,3562.json
3562,True,2024-10-15 09:31:23.846096,3562.json
3562,True,2024-10-15 09:42:19.635566,3562.json
57323,True,2024-10-15 22:54:25.964506,57323.json
36574,True,2024-10-16 04:29:18.496934,36574.json
2824,True,2024-10-16 04:46:13.644076,2824.json
52444,True,2024-10-16 05:30:21.759141,52444.json
43793,True,2024-10-16 05:33:25.545165,43793.json
45088,True,2024-10-16 05:35:08.706278,45088.json
3988,True,2024-10-16 05:38:48.804497,3988.json
54411,True,2024-10-16 05:44:33.090774,54411.json
50020,True,2024-10-16 05:47:10.254339,50020.json
56778,True,2024-10-16 05:51:34.295500,56778.json
35095,True,2024-10-16 05:58:27.731556,35095.json
28143,True,2024-10-16 05:59:36.165903,28143.json
55591,True,2024-10-16 06:01:24.532338,55591.json
7415,True,2024-10-16 06:04:35.401964,7415.json
53431,True,2024-10-16 06:09:24.023396,53431.json
51195,True,2024-10-16 06:11:43.359203,51195.json
51374,True,2024-10-16 06:16:44.874757,51374.json
24939,True,2024-10-16 06:18:21.325914,24939.json
45206,True,2024-10-16 06:22:57.422216,45206.json
48602,True,2024-10-19 09:06:18.208789,48602.json
49410,True,2024-10-19 09:44:47.456012,49410.json
52842,True,2024-10-20 04:22:10.789848,52842.json
28772,True,2024-10-20 04:58:37.424811,28772.json
56494,True,2024-10-20 08:49:20.873289,56494.json
36311,True,2024-10-20 11:36:32.833734,36311.json
5896,True,2024-10-20 11:37:03.852428,5896.json
34175,True,2024-10-20 11:37:35.112556,34175.json
53424,True,2024-10-20 16:34:53.574675,53424.json
42232,True,2024-10-20 16:44:07.699417,42232.json
53494,True,2024-10-20 19:26:36.124296,53494.json
41579,True,2024-10-20 19:27:01.279066,41579.json
57000,True,2024-10-20 19:27:33.077236,57000.json
26087,True,2024-10-20 22:49:31.176216,26087.json
4272,True,2024-10-20 22:49:59.683738,4272.json
38632,True,2024-10-20 22:50:26.212881,38632.json
Minuteman,True,2024-10-20 23:21:20.544937,Minuteman.json
Minuteman,True,2024-10-21 00:35:54.624940,Minuteman.json
49450,True,2024-10-21 01:01:03.081003,49450.json
37246,True,2024-10-21 01:01:26.177725,37246.json
10322,True,2024-10-21 01:02:03.382623,10322.json
32912,True,2024-10-21 01:02:29.642565,32912.json
44836,True,2024-10-21 01:02:46.931581,44836.json
44259,True,2024-10-21 19:21:29.913872,44259.json
7107,True,2024-10-21 21:48:23.168432,7107.json
38566,True,2024-10-21 23:10:21.941489,38566.json
Minuteman,True,2024-10-21 23:25:52.540266,Minuteman.json
31670,True,2024-10-22 00:06:26.044921,31670.json
48436,True,2024-10-22 00:14:35.115245,48436.json
55498,True,2024-10-22 23:02:06.368377,55498.json
58385,True,2024-10-22 23:10:17.299078,58385.json
58385,True,2024-10-22 23:13:20.859733,58385.json
5924,True,2024-10-22 23:16:21.927391,5924.json
20734,True,2024-10-22 23:27:01.165292,20734.json
54846,True,2024-10-23 00:14:36.279271,54846.json
