,GBP,EUR,JPY,INR,CAD,BRL,MXN,AUD
2010-01-31,1.5974008600095557,1.3930666666666667,0.011075129190406784,0.021591237859061793,0.9357814599193912,0.534110369859162,0.07672438007501337,0.8866447438209398
2010-02-28,1.50105317615757,1.354,0.011212940981615417,0.02167717972527297,0.9471622440889801,0.5514451337885721,0.0783265650850948,0.8937293729372938
2010-03-31,1.514834794335806,1.3479,0.01070356547288176,0.022274184486234593,0.9848030978300578,0.5606205548392464,0.08091947674593122,0.9143884404043146
2010-04-30,1.529932207284844,1.3315,0.010583419442015738,0.02254296114450182,0.9952163838851931,0.5799468617971165,0.08195863597193155,0.9316400783655191
2010-05-31,1.4502197659757492,1.2307,0.010927899129817084,0.021570414512312678,0.954474949588956,0.550821286308911,0.07748926471143797,0.8443331503841931
2010-06-30,1.5011315676799806,1.2271,0.011279529368508134,0.021530714298247152,0.9519782777346781,0.5557014763155511,0.07797894041165968,0.8519752829271681
2010-07-31,1.5677938937414855,1.3042999999999998,0.011559185843845085,0.021575795672599745,0.9714250248262165,0.5696379438354368,0.07890311184242364,0.9040896487985212
2010-08-31,1.5373423860329778,1.268,0.011842719716073596,0.021248428990364474,0.9400252057231819,0.5674139705553318,0.07555714455964725,0.8864653243847875
2010-09-30,1.5870690156404443,1.3648,0.012005629838142153,0.022283540418306203,0.9698003268670504,0.5882505064436877,0.07969262749769353,0.9700071073205402
2010-10-31,1.6028976595826445,1.3902999999999999,0.012422635889798956,0.022509609043348363,0.9820814692724276,0.5872852717544353,0.0809182727191597,0.9836100367889821
2010-11-30,1.5517220796275295,1.2998,0.011924770642201836,0.021757616337462336,0.9768525477228318,0.5809681312296072,0.0796494883264906,0.9560867966164032
2010-12-31,1.5523671216961952,1.3362,0.012298205246203404,0.022360186083871615,1.003002552169344,0.6025161203048204,0.08074935790904972,1.017204628501827
2011-01-31,1.590428621210361,1.3692,0.012171748599875545,0.021782776779038136,1.0009503618685578,0.5962895218186569,0.08227524832198634,0.9948412410085009
2011-02-28,1.6221857410881801,1.3834,0.012214374006710223,0.022088456011496085,1.0220908755079423,0.6032618175475317,0.08266507319988049,1.0171310933019628
2011-03-31,1.6076722869752178,1.4207,0.012079755122863703,0.022427973794301052,1.030612985128763,0.6161419030271489,0.08392802287388643,1.0342894583576006
2011-04-30,1.6671780288857292,1.4852333333333334,0.012302106629117314,0.02259562966231053,1.0535562281282513,0.6340196650397711,0.08680972272011721,1.0954933248100707
2011-05-31,1.6495613783613325,1.4385,0.012271796621736903,0.022193936588752603,1.0286020736503394,0.6320854205114685,0.0863855009278109,1.0652399289099526
2011-06-30,1.6013517256661682,1.4453,0.01243268817204301,0.022386233388061092,1.0359830836499178,0.6394849785407726,0.08513533413836774,1.071783463107156
2011-07-31,1.6359460126426093,1.4363333333333335,0.012968369097420773,0.022668209795360092,1.0514372163388805,0.642913626665473,0.08560167508313832,1.1011448430951651
2011-08-31,1.631662149954833,1.445,0.013071008593396655,0.021706474387862405,1.0218513542182308,0.6245947698292631,0.08019223938909607,1.0680759849212802
2011-09-30,1.558068424392777,1.3503,0.013009923884767318,0.02042226893933665,0.957320099255583,0.5386763473889975,0.07262176232682215,0.9732593340060546
2011-10-31,1.603596380712404,1.4001,0.012819080754440578,0.02053595001320074,1.0050969131371141,0.5920835623969214,0.0761615161586875,1.0586767485822306
2011-11-30,1.5678896938537041,1.3418,0.012901923076923078,0.019136858919504823,0.9809913730077499,0.5512509757199787,0.07368114700536493,1.019217622483859
2011-12-31,1.5489635796211898,1.2937666666666667,0.012941117631368364,0.01880693491491259,0.9795078864353315,0.535381262414478,0.07171205061027208,1.0185000524824184
2012-01-31,1.577775116752485,1.3176,0.013093510881446885,0.020228445099484158,1.003197807217908,0.5755471104704495,0.07739934443178215,1.0655021834061138
2012-02-29,1.5929612513330964,1.3443,0.012456449221645663,0.0204269867801246,1.0121216684234302,0.5877492130115426,0.07818015807012545,1.082890285161914
2012-03-31,1.601976909378314,1.3343666666666667,0.012164888929407116,0.019637863877633114,1.0027303241320575,0.5484750500095908,0.07838656554797752,1.039415262378937
2012-04-30,1.6254382188326466,1.3214,0.01248370335380255,0.018973637355694673,1.0176357335386985,0.5302568218298556,0.07702126915477113,1.041784925890886
2012-05-31,1.5505688211026376,1.2403,0.012700184312922384,0.017822194760967337,0.9719457722749,0.4974132745137357,0.07060638491665906,0.9738536432160803
2012-06-30,1.562352649212061,1.2590999999999999,0.01255876583435848,0.01798217635129345,0.9798443579766536,0.4910494910494909,0.07474251793222855,1.0219691025675712
2012-07-31,1.566936666879265,1.2284,0.012791835884619388,0.01796773297058522,0.9977257959714099,0.48907114703189075,0.07542859949894386,1.0521627408993577
2012-08-31,1.5857906318767685,1.2611,0.012743532740501214,0.0180090252192043,1.0099303275406424,0.4887226786544722,0.07516838528938428,1.03360380296697
2012-09-30,1.6154344058630699,1.2894666666666668,0.012842867102685833,0.019025978497162137,1.0175180177810512,0.49324220941500485,0.0777202280736297,1.038273659348328
2012-10-31,1.6111352222704445,1.2993,0.012519753324339947,0.01858266590389016,0.9990772779700116,0.49236424267687284,0.07657129386804962,1.0371168582375478
2012-11-30,1.601628021706956,1.2986,0.012094626059420695,0.018373988341162488,1.0063546187228767,0.4740973312401884,0.07745991601450658,1.0410453743787076
2012-12-31,1.6167136380345544,1.3194,0.011613414312120412,0.01818357221609702,1.00433889015757,0.48801597869507324,0.07677849224591927,1.0379169288860917
